,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop,ref,date
18,Brazil,2985,+431,77.0,18.0,6.0,2902,18.0,14.0,0.4,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
19,Sweden,2840,+314,77.0,15.0,16.0,2747,200.0,281.0,8.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
20,Israel,2693,+324,8.0,3.0,68.0,2617,46.0,311.0,0.9,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
21,Malaysia,2031,+235,23.0,3.0,215.0,1793,45.0,63.0,0.7,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
22,Czechia,1925,+271,9.0,3.0,10.0,1906,34.0,180.0,0.8,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
23,Denmark,1877,+153,41.0,7.0,1.0,1835,94.0,324.0,7.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
24,Ireland,1819,+255,19.0,10.0,5.0,1795,47.0,368.0,4.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
25,Luxembourg,1453,+120,9.0,1.0,6.0,1438,3.0,2321.0,14.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
26,Ecuador,1403,+192,34.0,5.0,3.0,1366,58.0,80.0,2.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
27,Japan,1387,+80,47.0,2.0,359.0,981,57.0,11.0,0.4,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
28,Chile,1306,+164,4.0,1.0,22.0,1280,7.0,68.0,0.2,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
29,Poland,1221,+170,16.0,2.0,7.0,1198,3.0,32.0,0.4,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
30,Pakistan,1201,+138,9.0,1.0,21.0,1171,5.0,5.0,0.04,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
31,Thailand,1045,+111,4.0,,88.0,953,4.0,15.0,0.06,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
32,Romania,1029,+123,23.0,6.0,94.0,912,29.0,53.0,1.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
33,Saudi Arabia,1012,+112,3.0,1.0,33.0,976,6.0,29.0,0.09,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
34,Finland,958,+78,5.0,2.0,10.0,943,24.0,173.0,0.9,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
35,South Africa,927,+218,,,12.0,915,2.0,16.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
36,Indonesia,893,+103,78.0,20.0,35.0,780,,3.0,0.3,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
37,Greece,892,+71,27.0,5.0,36.0,829,53.0,86.0,3.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
38,Russia,840,+182,3.0,,38.0,799,8.0,6.0,0.02,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
39,Iceland,802,+65,2.0,,82.0,718,11.0,2350.0,6.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
40,India,727,+70,20.0,8.0,45.0,662,,0.5,0.01,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
41,Diamond Princess,712,,10.0,,597.0,105,15.0,,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
42,Philippines,707,+71,45.0,7.0,28.0,634,1.0,6.0,0.4,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
43,Singapore,683,+52,2.0,,172.0,509,17.0,117.0,0.3,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
44,Panama,674,+116,9.0,1.0,2.0,663,20.0,156.0,2.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
45,Argentina,589,+87,12.0,4.0,72.0,505,,13.0,0.3,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
46,Peru,580,+100,9.0,,14.0,557,14.0,18.0,0.3,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
