,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop,ref,date
171,St. Barth,3,,,,,3,,304.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
172,Saint Lucia,3,+1,,,,3,,16.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
173,Zambia,3,,,,,3,,0.2,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
174,Gambia,2,+1,1.0,1.0,,1,,0.8,0.4,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
175,Sudan,2,,1.0,,,1,,0.05,0.02,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
176,Nepal,2,+1,,,1.0,1,,0.07,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
177,Bhutan,2,,,,,2,,3.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
178,Chad,2,+1,,,,2,,0.1,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
179,Dominica,2,+1,,,,2,,28.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
180,Mauritania,2,,,,,2,,0.4,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
181,Myanmar,2,+2,,,,2,,0.04,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
182,Nicaragua,2,,,,,2,,0.3,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
183,Sint Maarten,2,+1,,,,2,,47.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
184,Belize,1,+1,,,,1,,3.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
185,Eritrea,1,,,,,1,,0.3,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
186,Grenada,1,,,,,1,,9.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
