,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,ref,date
15,S. Korea,10062,+86,174.0,+5,6021.0,3867,55.0,196.0,3.0,421547.0,8222.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
16,Portugal,9886,+852,246.0,+37,68.0,9572,245.0,970.0,24.0,52086.0,5108.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
17,Brazil,9194,"+1,150",363.0,+39,127.0,8704,296.0,43.0,2.0,45708.0,215.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
18,Israel,7428,+571,40.0,+4,403.0,6985,113.0,858.0,5.0,37586.0,4342.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
19,Sweden,6131,+563,358.0,+50,205.0,5568,469.0,607.0,35.0,24500.0,2426.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
20,Australia,5454,+140,28.0,+3,585.0,4841,85.0,214.0,1.0,275000.0,10784.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
21,Norway,5370,+223,59.0,+9,32.0,5279,96.0,991.0,11.0,98587.0,18185.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
22,Ireland,4273,+424,120.0,+22,25.0,4128,148.0,865.0,24.0,17992.0,3644.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
23,Czechia,4190,+332,53.0,+9,72.0,4065,77.0,391.0,5.0,67281.0,6283.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
24,Russia,4149,+601,34.0,+4,281.0,3834,8.0,28.0,0.2,575000.0,3940.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
25,Denmark,3757,+371,139.0,+16,1193.0,2425,153.0,649.0,24.0,30448.0,5257.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
26,Chile,3737,+333,22.0,+4,427.0,3288,31.0,195.0,1.0,32096.0,1679.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
27,Poland,3383,+437,71.0,+14,56.0,3256,50.0,89.0,2.0,66938.0,1769.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
28,Ecuador,3368,+205,145.0,+25,65.0,3158,100.0,191.0,8.0,8251.0,468.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
29,Malaysia,3333,+217,53.0,+3,827.0,2453,108.0,103.0,2.0,47723.0,1474.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
30,Romania,3183,+445,133.0,+18,283.0,2767,83.0,165.0,7.0,31657.0,1646.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
