יישוב,pop2018,סוג מידע,value,date,StringencyIndex,last_updated
חולון,185741.0,מספר חולים מאומתים,175.0,2020-04-21,1.0,2020-05-31
באר יעקב,24216.0,מספר חולים מאומתים,22.0,2020-04-21,1.0,2020-05-31
ראשון לציון,241010.0,מספר חולים מאומתים,216.0,2020-04-21,1.0,2020-05-31
רמלה,75246.0,מספר חולים מאומתים,67.0,2020-04-21,1.0,2020-05-31
מיתר,9043.0,מספר חולים מאומתים,8.0,2020-04-21,1.0,2020-05-31
"בני עי""ש",6837.0,מספר חולים מאומתים,6.0,2020-04-21,1.0,2020-05-31
דימונה,35377.0,מספר חולים מאומתים,30.0,2020-04-21,1.0,2020-05-31
נתניה,213971.0,מספר חולים מאומתים,180.0,2020-04-21,1.0,2020-05-31
רחובות,137178.0,מספר חולים מאומתים,112.0,2020-04-21,1.0,2020-05-31
יבנה,45555.0,מספר חולים מאומתים,37.0,2020-04-21,1.0,2020-05-31
כפר סבא,97412.0,מספר חולים מאומתים,78.0,2020-04-21,1.0,2020-05-31
באר שבע,196755.0,מספר חולים מאומתים,153.0,2020-04-21,1.0,2020-05-31
אלפי מנשה,7771.0,מספר חולים מאומתים,6.0,2020-04-21,1.0,2020-05-31
ראש העין,53965.0,מספר חולים מאומתים,41.0,2020-04-21,1.0,2020-05-31
נוף הגליל,43811.0,מספר חולים מאומתים,32.0,2020-04-21,1.0,2020-05-31
באקה אל-גרביה,29035.0,מספר חולים מאומתים,21.0,2020-04-21,1.0,2020-05-31
כפר ורדים,5599.0,מספר חולים מאומתים,4.0,2020-04-21,1.0,2020-05-31
ערד,26763.0,מספר חולים מאומתים,19.0,2020-04-21,1.0,2020-05-31
גבעתיים,55123.0,מספר חולים מאומתים,39.0,2020-04-21,1.0,2020-05-31
קרית גת,55400.0,מספר חולים מאומתים,39.0,2020-04-21,1.0,2020-05-31
ג'לג'וליה,10011.0,מספר חולים מאומתים,7.0,2020-04-21,1.0,2020-05-31
קדימה-צורן,20831.0,מספר חולים מאומתים,14.0,2020-04-21,1.0,2020-05-31
צור יצחק,5954.0,מספר חולים מאומתים,4.0,2020-04-21,1.0,2020-05-31
מזכרת בתיה,14949.0,מספר חולים מאומתים,10.0,2020-04-21,1.0,2020-05-31
יקנעם עילית,22711.0,מספר חולים מאומתים,15.0,2020-04-21,1.0,2020-05-31
אריאל,18251.0,מספר חולים מאומתים,12.0,2020-04-21,1.0,2020-05-31
כפר יונה,21301.0,מספר חולים מאומתים,14.0,2020-04-21,1.0,2020-05-31
רהט,64649.0,מספר חולים מאומתים,42.0,2020-04-21,1.0,2020-05-31
מבשרת ציון,23093.0,מספר חולים מאומתים,15.0,2020-04-21,1.0,2020-05-31
כפר קאסם,23517.0,מספר חולים מאומתים,15.0,2020-04-21,1.0,2020-05-31
צור הדסה,7856.0,מספר חולים מאומתים,5.0,2020-04-21,1.0,2020-05-31
קרית שמונה,22152.0,מספר חולים מאומתים,14.0,2020-04-21,1.0,2020-05-31
טירת כרמל,22243.0,מספר חולים מאומתים,14.0,2020-04-21,1.0,2020-05-31
הוד השרון,59171.0,מספר חולים מאומתים,37.0,2020-04-21,1.0,2020-05-31
