,Country,Total Cases,New Cases,Total Deaths,Region,ref,date,New Deaths,Total Recovered,Serious_Critical,ActiveCases,Tot Cases/1M pop,Tot Deaths/1M pop,Deaths/1M pop,Reported1st case
382,Russia,2,,,Europe,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,2,,,,,,
381,India,3,,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,3,,,,,,
380,Italy,3,,,Europe,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,,2,,,,,
379,Philippines,3,,1,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,2,,,,,,
378,U.A.E.,8,,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,3,1,,,,,
377,Canada,8,,,N.America,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,1,,,,,,
376,U.K.,9,,,Europe,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,8,,,,,,
375,Macao,10,,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,3,,,,,,
374,France,12,,1,Europe,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,4,,,,,,
373,Australia,15,,,Oceania,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,10,,,,,,
372,USA,15,,,N.America,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,3,,,,,,
371,Germany,16,,,Europe,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,3,,,,,,
370,Vietnam,16,,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,7,,,,,,
369,Taiwan,18,,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,2,,,,,,
368,Malaysia,22,,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,7,,,,,,
367,S. Korea,29,1,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,9,,,,,,
366,Thailand,34,,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,14,2,,,,,
365,Hong Kong,56,,1,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,1,7,,,,,
364,Singapore,72,,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,18,6,,,,,
363,Japan,408,70,1,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,12,9,,,,,
389,Finland,1,,,Europe,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,1,,,,,,
390,Egypt,1,,,Africa,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,15/02/2020,,,,,,,,
396,S. Korea,29,1,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,9,,,,,,
412,Spain,2,,,Europe,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,2,,,,,,
419,Finland,1,,,Europe,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,1,,,,,,
418,Sri Lanka,1,,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,1,,,,,,
417,Belgium,1,,,Europe,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,1,,,,,,
416,Nepal,1,,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,1,,,,,,
415,Sweden,1,,,Europe,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,,,,,,,
414,Cambodia,1,,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,1,,,,,,
413,Egypt,1,,,Africa,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,,,,,,,
411,Russia,2,,,Europe,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,2,,,,,,
410,India,3,,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,3,,,,,,
409,Italy,3,,,Europe,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,16/02/2020,,,2,,,,,
